SgnMonth	DCEF	RIPO	NIPO	NA	TURN	CCI	ISI
统计月度	上月封闭基金平均折价率	IPO首日收益率均值	IPO数	新增开户数	上月市场换手率	上月消费者信心	投资者情绪指数
没有单位	没有单位	没有单位	个	万	没有单位	没有单位	没有单位
2006-04	-.2857	.0000	0	10.71	.2412	90.40	27.58
2006-05	-.3097	.0000	0	22.93	.4620	89.90	35.39
2006-06	-.3249	1.4838	4	18.67	.6793	90.10	34.41
2006-07	-.3053	.7340	4	13.70	.4232	90.00	30.74
2006-08	-.3084	.6670	13	7.17	.3813	90.10	28.57
2006-09	-.2943	.8375	4	9.09	.2211	90.50	27.85
2006-10	-.3025	.7379	11	11.62	.2745	91.40	31.24
2006-11	-.2796	.6542	14	14.78	.3095	91.60	33.98
2006-12	-.2423	1.0620	16	54.46	.3224	92.00	60.13
2007-01	-.1707	1.0468	11	108.59	.4186	92.80	93.89
2007-02	-.2169	1.1369	8	42.47	.6069	92.10	50.85
2007-03	-.1996	1.1599	8	134.96	.4900	95.80	110.85
2007-04	-.2031	1.6223	15	225.10	.5484	95.20	170.24
2007-05	-.2009	1.4721	4	263.90	.7136	96.20	192.81
2007-06	-.2221	2.3251	4	173.95	.8247	96.70	135.81
2007-07	-.1972	1.4963	6	94.01	.6207	97.40	84.78
2007-08	-.1793	3.3464	21	297.47	.3396	96.70	218.96
2007-09	-.2060	2.1936	13	242.16	.4569	97.30	181.40
2007-10	-.2692	2.6432	3	196.73	.3633	96.90	150.09
2007-11	-.2343	1.8218	13	131.97	.2610	96.50	110.41
2007-12	-.1950	1.7235	20	81.40	.1515	96.00	79.43
2008-01	-.1735	2.2012	8	84.37	.1907	96.90	79.06
2008-02	-.1854	1.7895	10	43.64	.2966	95.60	53.01
2008-03	-.1481	1.8893	4	62.07	.2079	94.30	63.16
2008-04	-.1268	1.1194	5	51.10	.2281	94.50	56.07
2008-05	-.1642	.8603	19	35.19	.2291	94.00	48.82
2008-06	-.2173	.4541	12	32.32	.2636	94.30	45.27
2008-07	-.2057	1.0022	7	30.97	.1740	94.10	43.44
2008-08	-.2431	.7110	6	23.50	.2335	94.50	38.41
2008-09	-.2264	1.2577	5	28.72	.1368	93.70	41.55
2008-10	-.2448	.0000	0	23.17	.1646	93.40	36.22
2008-11	-.2739	.0000	0	33.47	.1672	92.40	42.57
2008-12	-.2848	.4226	1	30.36	.3018	105.20	44.00
2009-01	-.2569	.0000	0	10.81	.3309	101.80	30.31
2009-02	-.2308	.0000	0	50.93	.2976	101.30	55.86
2009-03	-.2706	.0000	0	48.01	.5514	101.00	54.05
2009-04	-.2589	.0000	0	45.16	.4103	100.30	51.99
2009-05	-.2565	.0000	0	36.07	.4645	100.50	46.25
2009-06	-.2105	.0000	0	54.63	.4068	101.20	58.27
2009-07	-.2205	1.1198	5	78.81	.3708	101.00	75.34
2009-08	-.2260	.6284	11	72.40	.4550	102.10	72.66
2009-09	-.2552	.4778	12	48.76	.3560	102.70	57.77
2009-10	-.2304	.9928	32	28.81	.3233	102.80	49.79
2009-11	-.2099	.5586	11	50.71	.2817	103.20	58.92
2009-12	-.2141	.6160	28	52.49	.3673	103.30	64.01
2010-01	-.1930	.3669	37	38.58	.2550	103.90	57.12
2010-02	-.1573	.1595	24	26.19	.2704	104.70	46.34
2010-03	-.1522	.7038	33	60.40	.1849	104.20	70.38
2010-04	-.1430	.6980	30	42.70	.2114	107.90	59.23
2010-05	-.1505	.1173	26	38.17	.2763	106.60	54.89
2010-06	-.1340	.2134	28	34.85	.1974	108.00	53.55
2010-07	-.1313	.2327	25	35.48	.1729	108.50	53.38
