"","统计月度","上月封闭基金平均折价率","IPO首日收益率均值","IPO数","新增开户数","上月市场换手率","上月消费者信心","投资者情绪指数","上证指数"
"1",2003-01-31,-0.1034,0.905,5,3.97,0.1054,97.5,26.44,1499.814941
"2",2003-02-28,-0.1117,0.7691,3,2.85,0.1928,97.7,25.3,1511.932007
"3",2003-03-31,-0.0941,0.6831,6,3.26,0.1328,97.8,26.2,1510.578003
"4",2003-04-30,-0.1399,1.1853,5,5.69,0.1218,97.6,27.69,1521.44397
"5",2003-05-31,-0.1892,1.0623,2,4.21,0.3197,88.7,24.05,1576.260986
"6",2003-06-30,-0.1962,0.8507,7,5.35,0.2558,85.7,25.1,1486.024048
"7",2003-07-31,-0.1436,0.4559,9,3.87,0.1444,88.6,25.04,1476.741943
"8",2003-08-31,-0.1794,0.5829,9,3.06,0.1263,91.2,25.16,1421.983032
"9",2003-09-30,-0.1901,0.8065,7,3.02,0.0914,92.7,25.1,1367.161011
"10",2003-10-31,-0.2015,0.7209,5,2.51,0.0983,93.1,24.38,1348.302979
"11",2003-11-30,-0.2215,0.5567,4,3.95,0.1193,94.2,25.25,1397.224976
"12",2003-12-31,-0.2168,0.4989,5,5.69,0.1848,94.5,26.67,1497.043945
"13",2004-01-31,-0.2092,0.5847,4,3.9,0.2355,95.3,25.55,1590.729004
"14",2004-02-29,-0.2476,1.722,3,12,0.3299,95.4,31.09,1675.067017
"15",2004-03-31,-0.2604,1.0574,10,9.27,0.3984,95.2,30.61,1741.623047
"16",2004-04-30,-0.2402,0.877,12,7.31,0.2628,95.4,29.71,1595.587036
"17",2004-05-31,-0.2444,0.4443,10,3.6,0.2582,95,26.58,1555.906006
"18",2004-06-30,-0.2256,0.8468,22,4.46,0.1303,92.6,29.44,1399.161987
"19",2004-07-31,-0.2582,0.6252,21,3.2,0.1457,90.1,27.72,1386.202026
"20",2004-08-31,-0.2846,0.3435,13,3.15,0.1495,91.1,25.97,1342.062012
"21",2004-09-30,-0.2755,0.174,5,7.47,0.1117,90.8,26.75,1396.699951
"22",2004-10-31,-0.305,0,0,3.33,0.2338,91.3,23.06,1320.536011
"23",2004-11-30,-0.3268,0,0,3.87,0.2347,91.8,23.51,1340.770996
